,0,1,2
6949,Will,Smith,(Michael)
6962,Matt,Harrison,(Reid)
6968,Eduardo,Rodriguez,(Jos̩)
6971,(William),Alex,Wilson
6981,Aaron,Brooks,(Lee)
6987,Brett,Anderson,(Franklin)
6989,Hyun,Jin,Ryu / Hyun-Jin Ryu
6999,Mike,Dunn,(Glen)
7006,George,Baumann,/ Buddy Baumann
7009,Jung,Ho,Kang
7010,William,Hughes,/ Jared Hughes
7015,Christian,Vazquez,(Rafael)
7018,John,Lamb,(Michael)
7025,Tyler,Anderson,(John)
7028,Tim,Collins,(Michael)
7053,Dan,Winkler,/ Danny Winkler
7056,Scott,Van,Slyke
7080,Joe,Kelly,(William)
7089,Billy,Hamilton,(R.)
7122,Jorge,De,La Rosa
7125,Ryan,Gennett,/ Scooter Gennett
7126,Miguel,Montero,(Angel) (b. 1983-07-09)
7137,Roberto,Perez,(Andres)
7150,Alex,Rodriguez,(Enmanuel)
7183,Jim,Johnson,(Robert)
7189,Wilmer,Flores,(Alejandro)
7190,Chris,Young,(Ryan)
7213,Carlos,Gomez,(Argelis)
7251,Robert,Stubbs,/ Drew Stubbs
7273,Rubby,De,La Rosa
7290,Ryan,Webb,(Christopher)
7320,David,Wright,(Allen)
7340,Joe,Smith,(Michael)
7347,Rich,Hill,(Joseph)
7348,Tommy,La,Stella / Tommy LaStella
7357,Billy,Hamilton,(R.)
7399,Steven,Souza,Jr.
7401,Julio,Martinez,/ J.D. Martinez
7405,Jose,Bautista,(Antonio)
7422,Matt,Duffy,(Michael)
7430,Steven,Putnam,/ Zach Putnam
7441,Chris,Young,(Brandon)
7466,Enrique,Hernandez,/ Kike Hernandez
7476,,,
7487,Erik,Johnson,(Craig)
7506,Joe,Ross,(Andrew)
7514,Fernando,Rodriguez,Jr.
7518,Jordan,Zimmermann,(M.)
7528,Justin,Miller,(Ryan)
7538,David,Ross,(Wade)
7546,John,Holaday,/ Bryan Holaday
7551,Matt,Carpenter,(Martin)
7555,Ryan,Zimmerman,(Wallace)
7600,Hyun,Jin,Ryu / Hyun-Jin Ryu
7601,Hyun-soo,Kim,/ Hyun Soo Kim
7606,(David),Chris,Hatcher
7663,Rich,Hill,(Joseph)
7665,Jose,Reyes,(Bernabe)
7689,Rich,Hill,(Joseph)
7690,Johnathan,Williamson,/ Mac Williamson
7705,Lance,McCullers,Jr.
7726,David,Norris,/ Bud Norris
7727,Ryan,Zimmerman,(Wallace)
7737,Jordan,Zimmermann,(M.)
7738,Nicholas,Castellanos,/ Nick Castellanos
7749,Tommy,La,Stella / Tommy LaStella
7750,Scott,Van,Slyke
7757,Jose,Bautista,(Antonio)
7773,Mark,Reynolds,(Andrew)
7775,Tom,Milone,/ Tommy Milone
7776,Miguel,Gonzalez,(Angel)
7789,Giancarlo,Stanton,/ Mike Stanton (c)
7808,Joe,Smith,(Michael)
7835,Jung,Ho,Kang
7852,Brett,Anderson,(Franklin)
7857,Jonathon,Niese,/ Jon Niese
7965,Chad,Green,(Keith)
7970,Matt,Duffy,(Michael)
8000,Billy,Hamilton,(R.)
8001,Cody,Reed,(Austin)
8004,Chris,Lee,(Ulysses)
8027,Steven,Souza,Jr.
8038,Johnathan,Williamson,/ Mac Williamson
8090,Charlie,Culberson,(Edward) (b. 1989-04-10)
8210,Dan,Winkler,/ Danny Winkler
8212,Jung,Ho,Kang
8237,Todd,Smyly,/ Drew Smyly
8241,Julio,Martinez,/ J.D. Martinez
8244,Jose,Campos,(Vicente) / Vicente Campos
8255,George,Baumann,/ Buddy Baumann
8258,Matt,Duffy,(Michael)
8269,Dan,Winkler,/ Danny Winkler
8279,Johnathan,Williamson,/ Mac Williamson
8281,Will,Smith,(Michael)
8289,David,Wright,(Allen)
8290,Jacob,Lugo,/ Seth Lugo
8298,Alex,Gonzalez,(b) / Chi Chi Gonzalez
8313,Tom,Murphy,(James)
8319,Christopher,Austin,/ Tyler Austin
8320,Mariekson,Gregorius,/ Didi Gregorius
8327,Robbie,Ross,Jr.
8330,Rich,Hill,(Joseph)
8345,Gerald,Posey,/ Buster Posey
8348,Jackie,Bradley,Jr.
8358,William,Davis,/ Rookie Davis
8380,Zach,Britton,/ Zack Britton (Grant)
8386,Rich,Hill,(Joseph)
8397,Joe,Ross,(Andrew)
8411,Wilmer,Flores,(Alejandro)
8417,James,Shields,/ Jamie Shields
8428,(Jose),Miguel,Cabrera
